Cluster,Accident_Count,Center_Lat,Center_Lng
0,13067,38.480122026295675,-121.33442737693014
1,16278,33.943395339096725,-117.6034640633768
2,309,39.86094794498382,-83.69827005501617
3,27178,37.68168285903619,-122.1111361262011
4,30955,34.047470252153154,-118.28822851146738
5,7930,32.93841120644754,-117.09362087243996
